,Overall Acc,Model,Cost ($),Mean,SD,P95,AST Summary,Simple,Multiple,Parallel,Multiple Parallel,Exec Summary,Simple,Multiple,Parallel,Multiple Parallel,Overall Acc,Simple,Multiple,Parallel,Multiple Parallel,Overall Acc,Base,Miss Func,Miss Param,Long Context,Composite,Relevance,Irrelevance,Organization,License
1,62.19,GPT-4o-2024-08-06 (FC),4.75,1.05,1.18,2.33,85.9,74.58,92.5,92,84.5,85.64,87.07,92,86,77.5,75.43,74.42,75.12,81.25,70.83,25,41,9,20,30,N/A,63.41,82.93,OpenAI,Proprietary
2,62.02,Functionary-Medium-v3.1 (FC),N/A,14.77,18.52,43.22,89.52,76.08,96.5,95,90.5,89.77,97.57,94,90,77.5,73.48,79.46,81.87,68.75,70.83,23.5,36.5,12.5,27,18,N/A,70.73,73.32,MeetKai,MIT
3,61.89,GPT-4-turbo-2024-04-09 (FC),19.49,2.28,4.39,4.81,84.67,69.17,91,90.5,88,84.32,88.29,88,86,75,76.23,77.52,77.63,81.25,66.67,24.88,37.5,7,22,33,N/A,73.17,79.76,OpenAI,Proprietary
4,60.47,GPT-4o-mini-2024-07-18 (FC),0.34,1.3,8.12,2.38,84.25,73.5,90.5,90,83,84.12,83.5,92,86,75,70.19,72.87,74.45,87.5,70.83,27.5,39.5,10.5,26.5,33.5,N/A,80.49,71.77,OpenAI,Proprietary
5,60.44,ToolACE-8B (FC),N/A,N/A,N/A,N/A,87.06,76.25,93,90,89,89.52,98.57,94,88,77.5,74.99,66.67,74.93,81.25,70.83,17.38,18,12.5,18,21,N/A,80.49,85.71,Huawei Noah & USTC,Apache-2.0
6,59.27,o1-preview-2024-09-12 (Prompt),146.6,19.49,10.66,39.41,86.42,78.17,93,89.5,85,88.88,99.5,92,84,80,73.08,80.62,76.76,75,79.17,17.62,26.5,5,19.5,19.5,N/A,73.17,74.6,OpenAI,Proprietary
7,58.15,GPT-4o-mini-2024-07-18 (Prompt),0.43,0.9,5.81,1.42,86.23,79.42,93,86.5,86,91.12,100,96,86,82.5,74.63,79.46,74.35,93.75,70.83,11.13,15.5,4,10,15,N/A,75.61,81,OpenAI,Proprietary
8,57.99,xLAM-8x22b-r (FC),N/A,N/A,N/A,N/A,88.15,81.08,93,91.5,87,90.11,96.43,96,88,80,71.97,78.29,80.14,75,62.5,14.5,23.5,7,13,14.5,N/A,85.37,67.29,Salesforce,cc-by-nc-4.0
9,57.92,Gemini-1.5-Flash-002 (Prompt),0.22,0.75,1.13,1.09,86.58,75.33,91.5,91.5,88,89.48,95.93,96,86,80,76.28,77.91,78.3,93.75,66.67,9.88,16,2,9.5,12,N/A,85.37,78.54,Google,Proprietary
10,57.69,Hammer2.0-7b (FC),N/A,N/A,N/A,N/A,90.27,80.58,95,93.5,92,89.25,90,94,88,85,69.79,74.42,77.15,81.25,75,14.75,17,3,20.5,18.5,N/A,95.12,68.46,MadeAgents,cc-by-nc-4.0
11,57.45,o1-mini-2024-09-12 (Prompt),19.85,6.74,8.87,14.26,81.31,73.75,90,81,80.5,84,88.5,92,78,77.5,75.39,73.26,71.07,75,62.5,13.12,23,3,12,14.5,N/A,48.78,88.04,OpenAI,Proprietary
12,57.42,Claude-3.5-Sonnet-20240620 (FC),14.4,4.33,4.82,7.86,70.04,75.17,93.5,64.5,47,66.27,97.57,90,40,37.5,74.68,80.23,76.76,56.25,58.33,28.38,43,16.5,27,27,N/A,68.29,74.58,Anthropic,Proprietary
13,56.8,mistral-large-2407 (FC),7.92,3.02,9.89,5.67,86.62,73,92,91.5,90,84.57,73.79,94,88,82.5,68.37,81.78,79.27,68.75,75,20.62,25.5,12,24,21,N/A,75.61,49.44,Mistral AI,Proprietary
14,56.67,Functionary-Small-v3.1 (FC),N/A,23.1,21.13,64.91,86.42,74.67,94.5,89.5,87,85.95,88.79,92,88,75,70.41,75.19,75.89,81.25,62.5,14.62,24,2.5,21,11,N/A,85.37,68.62,MeetKai,MIT
15,56.51,Gemini-1.5-Pro-002 (Prompt),2.65,1.41,2.21,2.34,88.96,79.83,94,93,89,91.77,98.57,96,90,82.5,74.41,77.52,76.76,87.5,75,5.5,9.5,1,6,5.5,N/A,65.85,77.3,Google,Proprietary
16,55.86,Gemini-1.5-Flash-001 (Prompt),0.29,0.68,0.85,1.02,86.17,73.17,90.5,92,89,87.68,84.21,94,90,82.5,69.21,74.42,75.12,93.75,75,12.62,18.5,4,16,12,N/A,82.93,67.84,Google,Proprietary
17,55.78,GPT-4-turbo-2024-04-09 (Prompt),34.28,1.3,3.03,2.41,91.46,82.33,95,95,93.5,90,99.5,98,80,82.5,69.04,85.66,84.57,87.5,75,9.5,12,3,10.5,12.5,N/A,82.93,58.95,OpenAI,Proprietary
18,55.1,Gemini-1.5-Pro-001 (Prompt),2.92,1.55,2.84,2.9,83.88,73,91.5,88,83,87.52,91.57,94,82,82.5,73.12,67.44,69.24,93.75,66.67,6,10,2,7.5,4.5,N/A,56.1,85,Google,Proprietary
19,54.41,xLAM-7b-r (FC),N/A,N/A,N/A,N/A,81.4,73.08,93.5,79.5,79.5,83.46,76.86,92,90,75,67.88,71.32,73.48,31.25,58.33,14.5,18,10,17,13,N/A,97.56,64.05,Salesforce,cc-by-nc-4.0
20,54.27,Qwen2.5-7B-Instruct (Prompt),N/A,N/A,N/A,N/A,85.79,75.67,96,88.5,83,88.13,94.5,92,86,80,65.97,72.48,72.32,62.5,66.67,11.25,11,10.5,12.5,11,N/A,92.68,64.95,Qwen,apache-2.0
21,53.67,Llama-3.1-70B-Instruct (Prompt),N/A,N/A,N/A,N/A,88.9,76.58,95.5,93.5,90,89.34,91.36,96,90,80,61.13,77.13,71.46,87.5,62.5,12.38,11.5,7.5,17.5,13,N/A,92.68,58.38,Meta,Meta Llama 3 Community
22,53.66,Gemma-2-27b-it (Prompt),N/A,N/A,N/A,N/A,88.52,81.08,92.5,91,89.5,87.89,83.57,96,92,80,69.48,79.46,77.24,68.75,62.5,4.12,6.5,1.5,6.5,2,N/A,87.8,68.76,Google,gemma-terms-of-use
23,53,GPT-3.5-Turbo-0125 (FC),0.84,1.08,1.29,1.96,84.12,75.5,93,88,80,84.11,95.43,90,86,65,61.22,74.42,77.82,43.75,50,19.25,32.5,8,20.5,16,N/A,97.56,35.16,OpenAI,Proprietary
24,52.5,Gemma-2-9b-it (Prompt),N/A,N/A,N/A,N/A,84.38,74.5,92,88,83,85.18,84.21,94,90,72.5,69.21,73.64,73.58,56.25,58.33,3.75,6,2.5,4,2.5,N/A,87.8,72.45,Google,gemma-terms-of-use
25,52.11,Claude-3-Opus-20240229 (FC tools-2024-04-04),77.36,11.56,8.71,19.82,58.67,68.67,89,41,36,62.05,88.71,88,44,27.5,74.1,74.81,75.6,50,41.67,19.5,30,7,18,23,N/A,63.41,77.8,Anthropic,Proprietary
26,51.81,Open-Mixtral-8x22b (Prompt),7.11,1.84,5.15,3.83,86.92,77.67,92.5,90,87.5,88.23,91.43,96,88,77.5,68.46,72.87,61.33,81.25,66.67,0.88,1.5,1,0.5,0.5,N/A,65.85,74.85,Mistral AI,Proprietary
27,51.64,Open-Mistral-Nemo-2407 (FC),0.66,1.37,2.45,2.72,81.21,63.33,92,86.5,83,77.04,55.64,90,90,72.5,62.37,71.71,67.79,62.5,66.67,14.25,19,8.5,15,14.5,N/A,60.98,62.4,Mistral AI,Proprietary
